fee_valid_from,regis_id,fund_name_th,fund_abbr_name,fund_class_id,comp_thai_name_rep,dividend_policy,fee_TT,fee_OF,fee_SP,fee_FR,fee_IA,fee_UW,fee_EO,fee_FF,fee_BF,fee_SI,fee_SO,fee_TF,unit_TF,fee_CF,fee_OT,fee_TT_actual,fee_OF_actual,fee_SP_actual,fee_FR_actual,fee_IA_actual,fee_UW_actual,fee_EO_actual,fee_FF_actual,fee_BF_actual,fee_SI_actual,fee_SO_actual,fee_TF_actual,unit_actual_TF,fee_CF_actual,fee_OT_actual,url
31/12/2020,MF0300/2557,กองทุนเปิดพรินซิเพิล โกลบอล สมอล แค็พ อิควิตี้,PRINCIPAL GSCEQ,PRINCIPAL GSCEQ-R,บริษัทหลักทรัพย์จัดการกองทุน พรินซิเพิล จำกัด,ไม่จ่าย,5.35,1.61,0.11,0.75,ไม่มี,ไม่มี,2.88,2.14,1.07,2.14,1.07,ตามที่นายทะเบียนเรียกเก็บ,ต่อหน่วยลงทุน,ตามที่นายทะเบียนเรียกเก็บ,ตามที่จ่ายจริง,2.28,1.61,0.03,0.54,,,0.1,1.5,ไม่เรียกเก็บ,ตามเงื่อนไขการขายและรับซื้อคืนหน่วยลงทุน,ตามเงื่อนไขการขายและรับซื้อคืนหน่วยลงทุน,ตามที่นายทะเบียนเรียกเก็บ,,ตามที่นายทะเบียนเรียกเก็บ,,http://market.sec.or.th/public/idisc/th/Download/fund/PRINCIPAL GSCEQ
31/12/2020,MF0681/2557,กองทุนเปิดเค Mid Small Cap หุ้นทุน,K-MIDSMALL,-,บริษัทหลักทรัพย์จัดการกองทุน กสิกรไทย จำกัด,ไม่จ่าย,3.745,3.21,0.107,0.1284,ไม่มี,ไม่มี,1.07,2,2,มีแบบหลายเงื่อนไข ดูรายละเอียดเพิ่มเติม,มีแบบหลายเงื่อนไข ดูรายละเอียดเพิ่มเติม,ตามที่นายทะเบียนเรียกเก็บ,,ตามที่นายทะเบียนเรียกเก็บ,0.25,2.1334,2.0063,0.0268,0.0803,,,0.02,1,0,,,,,,,http://market.sec.or.th/public/idisc/th/Download/fund/K-MIDSMALL
15/2/2021,MF0510/2557,กองทุนเปิดกรุงศรีโกลบอลเฮลธ์แคร์อิควิตี้,KFHEALTH,KFHEALTH-A,บริษัทหลักทรัพย์จัดการกองทุน กรุงศรี จำกัด,ไม่จ่าย,4.6545,2.14,0.107,0.1605,ไม่มี,ไม่มี,2.14,2,2,2,2,10,บาทต่อหน่วยลงทุน 1000.00 หน่วยหรือเศษของ 1000.00 หน่วย,50,ตามที่จ่ายจริง,0.9967,0.8025,0.0321,0.1605,ไม่มี,ไม่มี,0.0016,1.5,ยังไม่เรียกเก็บ,1.5,ยังไม่เรียกเก็บ,10,บาทต่อหน่วยลงทุน 1000 หน่วยหรือเศษของ 1000 หน่วย,50,ตามที่จ่ายจริง,http://market.sec.or.th/public/idisc/th/Download/fund/KFHEALTH
15/2/2021,MF0510/2557,กองทุนเปิดกรุงศรีโกลบอลเฮลธ์แคร์อิควิตี้,KFHEALTH,KFHEALTH-D,บริษัทหลักทรัพย์จัดการกองทุน กรุงศรี จำกัด,จ่าย,4.6545,2.14,0.107,0.1605,ไม่มี,ไม่มี,2.14,2,2,2,2,10,บาทต่อหน่วยลงทุน 1000.00 หน่วยหรือเศษของ 1000.00 หน่วย,50,ตามที่จ่ายจริง,0.9967,0.8025,0.0321,0.1605,ไม่มี,ไม่มี,0.0016,1.5,ยังไม่เรียกเก็บ,1.5,ยังไม่เรียกเก็บ,10,บาทต่อหน่วยลงทุน 1000 หน่วยหรือเศษของ 1000 หน่วย,50,ตามที่จ่ายจริง,http://market.sec.or.th/public/idisc/th/Download/fund/KFHEALTH
31/12/2020,MF0455/2557,กองทุนเปิด แมนูไลฟ์ สเตร็งค์ เอเชียน สมอลแคป อิควิตี้ เพื่อการเลี้ยงชีพ,MS-ASM RMF,-,บริษัทหลักทรัพย์จัดการกองทุน แมนูไลฟ์ (ประเทศไทย) จำกัด,ไม่จ่าย,3.745,1.8725,0.0642,0.107,ไม่มี,ไม่มี,1.07,ไม่มี,ไม่มี,ไม่มี,ไม่มี,ไม่มี,,,,2.2244,1.8725,0.0375,0.0642,ไม่มี,ไม่มี,0.2502,ไม่มี,ไม่มี,ไม่มี,ไม่มี,ไม่อนุญาตให้โอนหน่วยลงทุน,,,,http://market.sec.or.th/public/idisc/th/Download/fund/MS-ASM RMF
31/12/2020,MF0388/2557,กองทุนเปิดพรินซิเพิล หุ้นเกาหลี,PRINCIPAL KOS,-,บริษัทหลักทรัพย์จัดการกองทุน พรินซิเพิล จำกัด,ไม่จ่าย,5.35,1.61,0.11,0.75,ไม่มี,ไม่มี,2.88,2.14,1.07,2.14,1.07,ตามที่นายทะเบียนเรียกเก็บ,,ตามที่นายทะเบียนเรียกเก็บ,ตามที่จ่ายจริง,2.37,1.6,0.03,0.54,,,0.2,1.5,,,,,,,,http://market.sec.or.th/public/idisc/th/Download/fund/PRINCIPAL KOS
29/1/2021,MF0431/2557,กองทุนเปิดทีเอ็มบี อีสท์สปริง พร็อพเพอร์ตี้ แอนด์ อินฟราสตรัคเจอร์ อินคัม พลัส เฟล็กซิเบิ้ล เพื่อการเลี้ยงชีพ,TMBPIPRMF,-,บริษัทหลักทรัพย์จัดการกองทุน ทหารไทย จำกัด,ไม่จ่าย,2.5145,2.14,0.107,0.214,ไม่มี,ไม่มี,0.0535,ไม่มี,ไม่มี,ไม่มี,ไม่มี,5,บาทต่อหน่วยลงทุน 1000.00 หน่วยหรือเศษของ 1000.00 หน่วย,50,0.25,1.803,1.605,0.0375,0.1605,,,0,ไม่มี,ไม่มี,ไม่มี,ไม่มี,,,,0.1,http://market.sec.or.th/public/idisc/th/Download/fund/TMBPIPRMF
2/2/2021,MF0611/2557,กองทุนเปิดเค โกลบอล พร็อพเพอร์ตี้ หุ้นทุน,K-GPROP,K-GPROP-A(A),บริษัทหลักทรัพย์จัดการกองทุน กสิกรไทย จำกัด,ไม่จ่าย,4.0125,3.21,0.2675,0.321,ไม่มี,ไม่มี,1.07,3,3,ดูรายละเอียดเพิ่มเติม,ดูรายละเอียดเพิ่มเติม,ตามที่นายทะเบียนเรียกเก็บ,,ตามที่นายทะเบียนเรียกเก็บ,0.75,1.2324,1.07,0.0321,0.0803,,,0.05,1.5,0,,,,,,,http://market.sec.or.th/public/idisc/th/Download/fund/K-GPROP
2/2/2021,MF0611/2557,กองทุนเปิดเค โกลบอล พร็อพเพอร์ตี้ หุ้นทุน,K-GPROP,K-GPROP-A(D),บริษัทหลักทรัพย์จัดการกองทุน กสิกรไทย จำกัด,จ่าย,4.0125,3.21,0.2675,0.321,ไม่มี,ไม่มี,1.07,3,3,ดูรายละเอียดเพิ่มเติม,ดูรายละเอียดเพิ่มเติม,ตามที่นายทะเบียนเรียกเก็บ,,ตามที่นายทะเบียนเรียกเก็บ,0.75,,,,,,,,,,,,,,,,http://market.sec.or.th/public/idisc/th/Download/fund/K-GPROP
1/1/2021,MF0721/2557,กองทุนเปิด อเบอร์ดีน สแตนดาร์ด ยูโร ไฮ ยิลด์ บอนด์ ฟันด์,ABEHB,-,บริษัทหลักทรัพย์จัดการกองทุน อเบอร์ดีน สแตนดาร์ด (ประเทศไทย) จำกัด,ไม่จ่าย,2.675,1.605,0.0535,0.107,ไม่มี,ไม่มี,0.9095,3,,,,300,บาทต่อหน่วยลงทุน 1000.00 หน่วยหรือเศษของ 1000.00 หน่วย,50,,1.8541,1.605,0.0321,0.107,,,0.11,1,,,,300,บาทต่อหน่วยลงทุน 1000 หน่วยหรือเศษของ 1000 หน่วย,,,http://market.sec.or.th/public/idisc/th/Download/fund/ABEHB
